Sr_No,SeriousDlqin2yrs,RevolvingUtilization_pct,age,latepayments_Count2yrs,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents
1,1,76.61,45,2,0.802982129,9120,13,6,2
2,0,95.72,40,0,0.121876201,2600,4,0,1
3,0,65.82,38,1,0.085113375,3042,2,0,0
4,0,23.38,30,0,0.036049682,3300,5,0,0
5,0,90.72,49,1,0.024925695,63588,7,1,0
6,0,21.32,74,0,0.375606969,3500,3,1,1
7,0,30.57,57,0,5710,NA,8,3,0
8,0,75.45,39,0,0.209940017,3500,8,0,0
9,0,11.70,27,0,46,NA,2,0,NA
10,0,18.92,57,0,0.606290901,23684,9,4,2
11,0,64.42,30,0,0.30947621,2500,5,0,0
12,0,1.88,51,0,0.53152876,6501,7,2,2
13,0,1.04,46,0,0.298354075,12454,13,2,2
14,1,96.47,40,3,0.382964747,13700,9,1,2
15,0,1.97,76,0,477,0,6,1,0
16,0,54.85,64,0,0.209891754,11362,7,1,2
17,0,6.11,78,0,2058,NA,10,2,0
18,0,16.63,53,0,0.18827406,8800,7,0,0
19,0,22.18,43,0,0.527887839,3280,7,1,2
20,0,60.28,25,0,0.065868263,333,2,0,0
21,0,20.09,43,0,0.430046338,12300,10,2,0
22,1,2.57,38,0,0.475841386,3000,7,1,2
23,0,100.00,39,0,0.241103559,2500,4,0,0
24,0,7.54,32,0,0.085512189,7916,6,0,0
25,0,4.66,58,0,0.241621845,2416,9,1,0
26,1,39.22,50,0,1.595253368,4676,14,3,1
27,0,5.24,58,0,0.097672186,8333,22,1,0
28,0,3.44,69,0,0.042383047,2500,17,0,1
29,0,45.25,24,0,0.011761247,3400,1,0,0
30,0,39.30,58,2,0.436102527,5500,15,1,0
31,0,70.41,28,1,0.155201143,4200,8,0,0
32,0,100.00,24,0,0.472703063,750,1,0,0
33,0,8.34,62,0,977,NA,6,1,0
34,0,18.69,57,0,0.313812313,7000,9,2,0
35,0,69.33,42,2,0.257731959,2230,7,0,0
36,0,0.00,64,0,0.073538769,11000,9,1,0
37,0,88.18,50,3,0.567858035,4000,9,1,1
38,0,100.00,75,1,0.134078212,3400,1,1,1
39,0,36.36,26,0,0.00999001,1000,1,0,0
40,0,30.45,52,0,0.808340474,3500,10,2,0
41,0,72.00,41,1,0.539554464,5700,14,1,0
42,0,7.29,81,0,75,NA,7,0,0
43,0,46.91,31,0,0.048211004,9250,4,0,1
44,0,71.87,28,0,0.170125614,3661,4,0,1
45,0,36.89,68,0,1687.5,1,31,1,0
46,0,0.06,70,0,0.177787036,16800,12,1,2
47,0,6.14,62,0,0.011167837,3133,2,0,0
48,0,14.01,31,0,0.689370485,1937,4,2,0
49,0,83.40,38,0,0.393662026,13000,13,2,2
50,0,0.01,70,0,0.256339661,6900,21,1,0
51,0,81.90,73,0,3095,0,9,1,0
52,1,72.82,31,0,0.824725092,3000,10,2,1
53,0,100.00,62,0,0,NA,1,0,0
54,0,2.86,51,0,0.306381499,5750,5,1,0
55,0,99.20,29,0,0.008064516,2231,1,0,0
56,0,7.09,55,0,0.073147745,13793,4,1,0
57,0,45.50,46,1,0.016921775,13000,10,0,1
58,0,40.12,64,0,0.351258937,3216,4,1,0
59,0,54.11,43,0,2477,NA,3,1,2
60,0,65.56,35,0,0.261609907,5813,10,0,2
61,0,65.16,58,0,0.241135663,7783,11,1,0
62,0,2.74,69,0,0.00803428,5600,3,0,0
63,0,10.12,72,0,1720,NA,12,2,0
64,0,0.98,46,0,1.051397656,3326,6,2,2
65,0,33.75,60,0,0.549877805,4500,10,2,0
66,0,0.00,67,0,0.540983607,3720,2,1,0
67,0,75.09,55,2,0.316416365,7723,17,1,1
68,0,0.68,27,1,0.681045752,764,3,0,0
69,0,0.43,31,0,0.111444278,2000,6,0,2
70,0,26.95,64,0,0.16106176,9455,13,1,3
71,0,26.59,36,0,0.262611807,8384,6,2,1
72,0,14.20,67,0,1824,NA,7,2,0
73,0,82.77,56,0,0.369590815,6793,15,1,0
74,0,5.97,31,0,3162,0,11,2,1
75,1,13.31,49,1,0.182881653,10257,9,2,3
76,0,23.42,36,0,0.116614347,8600,19,0,3
77,0,12.23,29,0,0.694646949,4800,5,1,0
78,0,46.04,37,0,0.074155949,4975,6,0,0
79,0,33.56,69,0,0.270448637,15000,14,2,1
80,0,27.05,41,0,2.797698945,1042,11,2,2
81,0,18.33,52,0,0.111131623,10833,14,2,1
82,0,7.49,66,0,0.208842479,4500,3,1,0
83,0,1.73,53,0,2.604510673,12414,13,1,2
84,0,5.45,56,0,0.492021814,4950,18,2,0
85,0,2.92,31,0,0.395031809,3300,10,1,0
86,0,0.00,58,0,0.316144874,4886,9,1,1
87,0,36.05,58,1,3282,NA,8,2,0
88,0,0.37,64,0,0.004061231,3200,5,0,0
89,1,73.45,45,0,0.591477634,4716,13,2,2
90,0,8.06,60,0,0.487288997,4916,15,2,0
91,0,3.94,51,0,15466,0,7,0,0
92,0,2.38,83,0,0.123797734,10500,13,0,0
93,0,78.48,52,0,2662,NA,10,2,0
94,0,88.88,34,0,0.368403802,3050,4,0,1
95,0,79.12,44,0,0.51241535,3100,5,1,0
96,0,24.54,37,0,0.288417167,6500,11,1,0
97,0,54.22,48,2,10,NA,2,0,NA
98,0,1.05,57,0,0.280664917,5714,6,1,0
99,0,36.32,32,0,0.480523957,2900,4,1,0
100,0,3.26,75,0,0.006799093,7500,4,0,0
101,0,1.30,61,0,15,NA,4,0,0
102,0,1.94,34,0,0.32591852,4000,9,1,0
103,0,63.45,52,0,0.138238573,2690,2,0,0
104,0,88.80,44,0,0.299246282,4908,8,0,1
105,0,0.31,57,0,0.258939285,8333,7,1,0
106,0,11.48,46,0,0.026235802,6250,6,0,3
107,0,1.89,80,0,0.003478779,10060,5,0,0
108,0,63.54,32,0,0.519493502,3000,4,1,1
109,0,100.00,62,0,0.664221287,8314,8,3,0
110,0,4.13,61,0,4739,NA,11,4,NA
111,0,9.67,47,0,0.009748781,8000,2,0,2
112,0,31.84,58,0,1.382629108,3833,26,4,0
113,0,18.70,52,0,0.023993145,3500,4,0,0
114,0,0.65,68,0,0.108089191,10000,10,2,1
115,0,18.10,39,1,0.384441575,3097,7,1,3
116,0,0.75,74,0,7,NA,4,0,0
117,0,6.79,46,0,0.149103029,10200,6,2,0
118,0,3.35,44,0,1.243362832,4067,5,2,1
119,0,0.75,68,0,269,NA,4,0,0
120,0,1.53,68,0,0.12290366,8168,6,0,0
121,0,51.71,31,0,0.123752495,500,3,0,0
122,0,31.80,34,0,0.297933792,4500,11,2,0
123,0,29.76,67,0,0.239507959,4145,13,0,0
124,0,44.48,58,0,0.366545247,14000,9,2,4
125,0,27.80,39,0,4090,NA,9,2,0
126,0,0.37,58,0,0.63332301,3228,5,1,0
127,0,0.00,61,0,0.2226598,3300,14,1,0
128,0,0.00,59,0,0.218854341,19167,13,2,0
129,0,15.19,36,0,0.266394467,12000,22,2,0
130,0,0.00,59,0,0.351699622,4500,12,1,0
131,0,17.57,43,1,994,NA,4,1,0
